"pop2","pH","humidity_.","organic.matter_.","Al","Ca","Fe","K","Mg","Mn","P","S","Si","Zn","PO3","NO3","NH4","Na","Cl","depth","method"
"pop18",4.7,38.4,8.7,30.59,20468.22,3.79,488.28,472.02,44.91,1.87,122.62,94.48,6.15,NA,492.23,403.48,NA,NA,"0-10","salt"
"pop19",5.3,20.9,7.3,17.28,19534.47,0.39,109.89,2666.67,13.95,0.78,342.51,199.51,4.6,NA,312.13,36.82,NA,NA,"0-10","salt"
"pop20",5.31,20.12,5.46,30.97,33718.02,14.96,320.52,3550.01,1.52,13.49,253.66,145.24,3.54,NA,414.47,53.67,NA,NA,"0-10","salt"
"pop5",6.37,30.43,10.95,47.79,43259.4,0,31.87,7928.52,0.57,1.15,368.1,110.47,1.33,NA,169.94,13.01,NA,NA,"20-30","salt"
"pop1",4.34,13.53,2.11,93.55,4821.68,1.62,232.69,800.33,162.94,1.79,429.01,226.45,15.56,NA,137.45,23.98,NA,NA,"20-30","salt"
"pop2",4.63,15.62,6.61,88.53,21020.18,1.88,375.9,4705.94,35.86,1.97,52.88,104.31,8.37,NA,0,55.06,NA,NA,"20-30","salt"
"pop3",5.96,17.96,10.18,42.39,32709.49,1.88,721.03,4484.47,6.69,4.26,58.21,230.75,1.79,NA,222.58,96.39,NA,NA,"20-30","salt"
"pop4",7.29,44.93,10.6,12.48,37350.04,0,430.34,591.37,0.23,1.52,155.38,350.96,0.53,NA,430.94,272.3,NA,NA,"20-30","salt"
"pop6",4.97,45.16,15.25,26.24,26549.56,2.01,336.17,1412.41,4.7,0.98,97.63,105.07,14.92,NA,269.02,115.49,NA,NA,"20-30","salt"
"pop7",4.36,32.28,5.83,412.02,10244.9,127.82,3616.43,703,283.86,1.94,64.69,335.82,15.48,NA,11.02,206.4,NA,NA,"20-30","salt"
"pop8",5.34,75.68,39.63,25.72,36190.67,4.5,720.49,998.95,19.41,1.3,301.16,41.39,0.39,NA,367.5,103.68,NA,NA,"20-30","salt"
"pop9",5.65,56.5,15.65,34.09,19612.63,411.04,893.84,4646.45,476.61,2.25,394.82,273.89,51.49,NA,0,820.45,NA,NA,"20-30","salt"
"pop10",6.08,33.41,9.21,24.39,27370.32,2.38,1303.86,8887.78,1.72,1.71,252.3,338.19,1550.44,NA,970.04,127.4,NA,NA,"20-30","salt"
"pop11",7.24,16.55,7.02,31.5,25951.1,0.2,1714.16,5283.41,0.36,4.19,40.17,256.05,0.22,NA,249.25,133.04,NA,NA,"20-30","salt"
"pop12",6.24,56.07,23.19,6.08,12544.23,0.85,401.18,320.79,0.1,0.97,268.9,120.55,1.1,NA,657.89,5.76,NA,NA,"20-30","salt"
"pop13",6.3,33.23,5.35,20.77,27559.29,2.43,938.32,1643.87,0.97,2.19,704.46,235.24,1.63,NA,381.3,101.46,NA,NA,"20-30","salt"
"pop14",5.82,78.35,59.17,33.38,29258.33,3.47,1494.95,2387.47,2.42,1.59,920.97,213.99,0.76,NA,63.07,156.92,NA,NA,"20-30","salt"
"pop15",5.3,40.62,10.85,37.87,28247.92,2.75,309.75,4020.59,141.52,1.29,1712.41,383.04,6.56,NA,11.48,189.02,NA,NA,"20-30","salt"
"pop16",4.47,23.38,6.35,140.2,9112.71,2.66,214.6,1119.13,68.03,0.67,167.84,112.8,26.3,NA,925.68,867.95,NA,NA,"20-30","salt"
"pop17",6.72,21.47,6.77,49.3,17236.99,0,138.84,11325.72,0.64,0.82,26.5,192.35,0.63,NA,540.3,6.05,NA,NA,"20-30","salt"
"pop18",5.57,25.67,4.29,30.59,20468.22,3.79,488.28,472.02,44.91,1.34,122.58,94.48,6.15,NA,160.02,41.04,NA,NA,"20-30","salt"
"pop19",6.04,15.3,3.66,23.41,24882.55,0.03,11.65,2266.91,2.12,0.43,222.61,198.45,5.99,NA,177.9,4.82,NA,NA,"20-30","salt"
"pop20",6.17,18.56,4.31,7.6,36209.41,7.34,314.55,2910.24,0.37,13.24,150.66,183.57,3.57,NA,374.56,29.26,NA,NA,"20-30","salt"
